uwi,long,lat,lease,operator,fake_number
162,-102.4722705,32.2226317,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,17
163,-102.4722705,32.2226317,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,76
164,-102.5133274,32.1742566,UNIVERSITY 1-26,EOG RESOURCES INCORPORATED,87
165,-102.5013734,32.2092951,UNIVERSITY 1-16,WILBANKS RESERVE CORPORATION,12
166,-102.6111028,32.5061917,HAIR OF THE DOG,RING ENERGY INCORPORATED,66
167,-102.5732816,32.203814,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
168,-102.6508472,32.1289444,UNIVERSITY,SANDRIDGE EXPLORATION & PRODUCTION LLC,62
169,-102.8228528,32.2191861,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,68
170,-102.7382806,32.1878056,UNIVERSITY 6N,SHERIDAN PRODUCTION COMPANY LLC,94
171,-102.6314435,32.3376025,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,77
172,-102.6398839,32.4200265,FISHER 4,LIME ROCK RESOURCES IV A LP,100
173,-102.646025,32.4166167,FISHER 4,LIME ROCK RESOURCES IV A LP,52
174,-102.6287722,32.3344333,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,86
175,-102.5684304,32.2112106,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,13
176,-102.6356052,32.3419845,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,35
177,-102.6325166,32.3297734,SHAFTER LAKE-SAN ANDRES-UNIT,APACHE CORPORATION,47
178,-102.74674,32.15297,PHILLIPS UNIVERSITY -O-,SHERIDAN PRODUCTION COMPANY LLC,95
179,-102.632536,32.329448,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
180,-102.6902944,32.173025,FUHRMAN MASCHO SOUTH UNIT,SHERIDAN PRODUCTION COMPANY LLC,81
181,-102.9300806,32.1041472,BRUCE & BAR 73-18,MAVERICK OPERATING COMPANY LLC,16
182,-102.6692864,32.2577375,FLEMING -A-,SHERIDAN PRODUCTION COMPANY LLC,4
183,-102.8259861,32.1389583,UNIVERSITY `B11` 18,MEWBOURNE OIL COMPANY,77
184,-102.6326083,32.4173667,FISHER 4,LIME ROCK RESOURCES IV A LP,80
185,-102.6424697,32.4150342,FISHER 4,LIME ROCK RESOURCES IV A LP,38
186,-102.8174309,32.2202363,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,20
187,-102.6352862,32.4167172,FISHER 4,LIME ROCK RESOURCES IV A LP,48
188,-102.7298333,32.4029056,UNIVERSITY -YZ-,OXY USA WTP LP,88
189,-102.8269028,32.1441833,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,58
190,-102.830623,32.138426,UNIVERSITY `B11` `18`,MEWBOURNE OIL COMPANY,72
191,-102.6177194,32.3908667,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,82
192,-102.6015469,32.1596444,STATE AQ,GREYSTONE PETROLEUM LLC,43
193,-102.3443938,32.4540769,UNIVERSITY LANDS 5-22,PIEDRA OPERATING LLC,57
194,-102.6119167,32.3922556,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,100
195,-102.3616602,32.4804665,UNIVERSITY LANDS CONSOLIDATED UNIT 5-9,ZARVONA ENERGY LLC,73
196,-102.6487528,32.1637694,UNIVERSITY 24A,SHERIDAN PRODUCTION COMPANY LLC,84
197,-102.6183083,32.3265028,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,60
198,-102.6176778,32.3263722,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,22
199,-102.7195556,32.2662611,RANCH 4,SHERIDAN PRODUCTION COMPANY LLC,90
200,-102.63245,32.3401722,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,72
201,-102.8824014,32.2653064,UNIVERSITY 12-10,DEVON ENERGY PRODUCTION COMPANY L P,68
202,-102.7403158,32.3914783,UB 13-14,LIME ROCK RESOURCES IV A LP,28
203,-102.8229333,32.15995,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,68
204,-102.6330167,32.3297694,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,39
205,-102.6887816,32.4286819,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,50
206,-102.6841085,32.4131638,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,13
